Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
CRISTIANO RONALDO,07/08,FA CUP,THIRD ROUND,2008-01-05,A,MANCHESTER UNITED,ASTON VILLA,0:02,OTHER,81,0:01,LEFT-FOOTED SHOT,RYAN GIGGS
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,22,2008-01-12,H,MANCHESTER UNITED,NEWCASTLE UNITED,6:00,RW,48,1:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,22,2008-01-12,H,MANCHESTER UNITED,NEWCASTLE UNITED,6:00,RW,70,3:00,RIGHT-FOOTED SHOT,CARLOS TEVEZ
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,22,2008-01-12,H,MANCHESTER UNITED,NEWCASTLE UNITED,6:00,RW,88,5:00,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,23,2008-01-19,A,MANCHESTER UNITED,READING FC,0:02,RW,90+2,0:02,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,07/08,FA CUP,FOURTH ROUND,2008-01-27,H,MANCHESTER UNITED,TOTTENHAM HOTSPUR,3:01,RW,69,2:01,PENALTY,OTHER
CRISTIANO RONALDO,07/08,FA CUP,FOURTH ROUND,2008-01-27,H,MANCHESTER UNITED,TOTTENHAM HOTSPUR,3:01,RW,88,3:01,RIGHT-FOOTED SHOT,RYAN GIGGS
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,24,2008-01-30,H,MANCHESTER UNITED,PORTSMOUTH FC,2:00,RW,10,1:00,RIGHT-FOOTED SHOT,NANI
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,24,2008-01-30,H,MANCHESTER UNITED,PORTSMOUTH FC,2:00,RW,12,2:00,DIRECT FREE KICK,OTHER
LIONEL MESSI,07/08,UEFA CHAMPIONS LEAGUE,LAST 16,2008-02-20,A,FC BARCELONA,CELTIC FC,2:03,RW,18,1:01,LEFT-FOOTED SHOT,DECO
LIONEL MESSI,07/08,UEFA CHAMPIONS LEAGUE,LAST 16,2008-02-20,A,FC BARCELONA,CELTIC FC,2:03,RW,79,2:03,LEFT-FOOTED SHOT,OTHER
